overall_rank,amfi_code,scheme_name,category,cagr_3yr,sharpe_ratio,alpha,max_drawdown_pct,expense_ratio_pct,rank_return_3yr,rank_sharpe,rank_alpha,rank_expense_inv,rank_maxdd_inv,score
14,119552,SBI Bluechip Fund - Direct Plan - Growth,Equity,0.16263375081360643,0.9532794968660105,0.1986859936686296,-11.803493502764296,0.66,45.0,72.5,65.0,92.5,75.0,66.0
15,125497,HDFC Top 100 Fund - Direct Plan - Growth,Equity,0.18429918008610047,0.7757902498211209,0.17729754927531766,-15.200013055606398,0.92,55.00000000000001,57.49999999999999,62.5,67.5,57.49999999999999,59.25
16,118635,Nippon India ETF Nifty 50 BeES,Equity,0.2000321571698329,0.664856998549062,0.1513635464823924,-11.650624505409091,0.89,60.0,55.00000000000001,45.0,70.0,77.5,59.0
17,118633,Nippon India Large Cap Fund - Direct - Growth,Equity,0.21084691029380598,0.6452074382933216,0.15643835948169668,-18.62974313859551,0.72,65.0,50.0,47.5,88.75,37.5,58.56
18,102885,UTI Nifty 50 Index Fund - Regular - Growth,Equity,0.19662361245910964,0.8170993373494371,0.17048756803412696,-10.85986215250232,1.57,57.49999999999999,62.5,55.00000000000001,17.5,85.0,55.0
19,120503,ICICI Pru Bluechip Fund - Regular - Growth,Equity,0.13974980348212673,0.7979728586052847,0.17703302365844073,-13.897862823061635,1.42,40.0,60.0,60.0,52.5,67.5,53.62
20,148568,Mirae Asset Emerging Bluechip Fund - Regular - Growth,Equity,0.14744434832760533,0.9262873467360146,0.20873010086942337,-15.27259422823477,1.52,42.5,65.0,67.5,36.25,55.00000000000001,53.44
21,120506,ICICI Pru Value Discovery Fund - Regular - Growth,Equity,0.18417429266835228,0.6488787755249532,0.1625385327998104,-19.82565826298267,1.41,52.5,52.5,52.5,55.00000000000001,35.0,51.12
22,120507,ICICI Pru Liquid Fund - Regular - Growth,Debt,0.07392538786263403,0.49572339295331147,0.06746210411099539,-0.09773140045925555,0.74,30.0,45.0,25.0,85.0,100.0,48.0
23,119093,Axis Bluechip Fund - Direct - Growth,Equity,0.20811559826631898,0.1296144979566933,0.08232801295222093,-21.751396370148225,0.75,62.5,30.0,32.5,82.5,25.0,47.62
24,102887,UTI Flexi Cap Fund - Regular - Growth,Equity,0.25549670172502026,0.6195175900829829,0.16211256794033255,-21.539827112383225,1.64,70.0,47.5,50.0,3.75,27.500000000000004,46.19
25,149322,DSP Top 100 Equity Fund - Regular - Growth,Equity,0.1803973982038829,0.4640374492204777,0.13173190226099432,-14.844576917771747,1.54,50.0,40.0,42.5,26.25,62.5,43.69
26,125498,HDFC Mid-Cap Opportunities Fund - Direct - Growth,Equity,0.11242518737374207,0.3006119210425479,0.11989100971217971,-21.11727956013212,0.78,37.5,35.0,37.5,77.5,30.0,42.12
27,120844,Kotak Liquid Fund - Regular - Growth,Debt,0.06694394239074852,-0.08874729621557495,0.06455677495375998,-0.11629327956168556,0.6,27.500000000000004,17.5,22.5,95.0,97.5,41.12
28,120841,Kotak Bluechip Fund - Regular - Growth,Equity,0.1726301444443794,0.4942725378672354,0.13042924450705445,-17.57361416468729,1.59,47.5,42.5,40.0,15.0,42.5,39.38
29,118634,Nippon India Small Cap Fund - Regular - Growth,Equity,0.080060298597036,0.44843400890899143,0.1750072167561127,-23.34488614483311,1.53,35.0,37.5,57.49999999999999,31.25,22.5,38.31
30,118636,Nippon India Gilt Securities Fund - Regular - Growth,Debt,0.04061259859840338,-0.3566295075143679,0.05074772999976104,-8.316361763638703,0.55,20.0,7.5,15.0,100.0,87.5,34.62
31,119120,SBI Magnum Gilt Fund - Regular Plan - Growth,Debt,0.05838988442093762,-0.2265753866279158,0.05620895216638369,-4.328728923970093,0.77,22.5,10.0,17.5,80.0,90.0,33.75
32,101208,ABSL Liquid Fund - Regular - Growth,Debt,0.06314299292105274,-0.8155673679088286,0.060861457957871144,-0.16224980244717857,0.79,25.0,2.5,20.0,75.0,95.0,32.88
33,100025,HDFC Short Term Debt Fund - Regular - Growth,Debt,0.03915479354684703,-0.5670947928476847,0.042817920315060876,-4.308263824636349,0.56,17.5,5.0,7.5,97.5,92.5,31.88
34,120842,Kotak Emerging Equity Fund - Regular - Growth,Equity,0.0775416750547262,0.07599984804658912,0.0780443887615508,-24.003511326274886,1.56,32.5,27.500000000000004,30.0,20.0,20.0,27.62
35,119599,SBI Small Cap Fund - Direct Plan - Growth,Equity,-0.01337083602283895,-0.05718662582818005,0.048824215945539845,-52.57422117012851,0.72,7.5,22.5,12.5,88.75,2.5,23.94
36,119092,Axis Bluechip Fund - Regular - Growth,Equity,0.005257668501786883,0.030784850954585913,0.0689952982167755,-14.401617909337261,1.64,12.5,25.0,27.500000000000004,3.75,65.0,22.56
37,101207,ABSL Small Cap Fund - Regular - Growth,Equity,-0.04151453816140693,0.16266076928646758,0.10897091901704538,-35.44691649336603,1.53,5.0,32.5,35.0,31.25,7.5,22.06
38,119095,Axis Small Cap Fund - Regular - Growth,Equity,-0.11703299329834216,-0.07597357117478937,0.048015953637759554,-51.677753708526566,1.38,2.5,20.0,10.0,60.0,5.0,17.25
39,100016,HDFC Top 100 Fund - Regular Plan - Growth,Equity,0.012923525892154508,-0.20151706755966933,0.03747580763443282,-24.734440880673304,1.55,15.0,15.0,5.0,22.5,17.5,14.38
40,102886,UTI Mid Cap Fund - Regular - Growth,Equity,-0.007672319440258146,-0.20583160785470306,0.028969397866379445,-28.00112356639287,1.51,10.0,12.5,2.5,41.25,15.0,14.31
